Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 2017.9 333 0 130 NA NA NA NA 542 0 207 NA NA NA NA 995 253 553 NA NA NA NA 1256 349 831 NA NA NA NA
1579388400.0 250199.0 259 NA NA NA NA NA NA 415 NA NA NA NA NA NA 3169 NA NA NA NA NA NA 1604 NA NA NA NA NA NA
1579388400.0 250199.17 271 NA NA NA NA NA NA 446 NA NA NA NA NA NA 3213 NA NA NA NA NA NA 1729 NA NA NA NA NA NA
1579388400.0 250200.0 NA 262 634 0 NA NA NA NA 536 787 0 NA NA NA NA 11989 2675 587 NA NA NA NA 6794 2582 751 NA NA NA
1579388400.0 250200.17 NA 442 783 0 NA NA NA NA 872 934 0 NA NA NA NA 16937 3528 1679 NA NA NA NA 9075 2760 2057 NA NA NA
1579388400.0 250202.0 NA 265 659 0 NA NA NA NA 575 808 0 NA NA NA NA 10881 3175 595 NA NA NA NA 6838 2372 769 NA NA NA
1579388400.0 250202.17 NA 457 774 0 NA NA NA NA 819 931 0 NA NA NA NA 16584 3927 1697 NA NA NA NA 9407 3119 1896 NA NA NA
1579388400.0 250203.0 NA 264 655 0 NA NA NA NA 510 804 0 NA NA NA NA 8786 2888 596 NA NA NA NA 6736 2220 753 NA NA NA
1579388400.0 250203.17 NA 441 769 0 NA NA NA NA 774 932 0 NA NA NA NA 14394 3588 1683 NA NA NA NA 9213 2889 1894 NA NA NA
1579388400.0 250204.0 NA 264 652 0 NA NA NA NA 551 790 0 NA NA NA NA 11972 2896 600 NA NA NA NA 6656 2617 810 NA NA NA
1579388400.0 250204.17 NA 453 772 0 NA NA NA NA 869 960 0 NA NA NA NA 15907 3560 1756 NA NA NA NA 9061 2735 1973 NA NA NA
1579388400.0 250205.0 NA 259 660 0 NA NA NA NA 544 815 0 NA NA NA NA 12209 3279 596 NA NA NA NA 6893 2767 718 NA NA NA
1579388400.0 250205.17 NA 424 765 0 NA NA NA NA 775 942 0 NA NA NA NA 16930 3463 1755 NA NA NA NA 8668 2877 1990 NA NA NA
1579388400.0 250206.0 NA 256 641 0 NA NA NA NA 515 794 0 NA NA NA NA 12192 2932 590 NA NA NA NA 6711 2219 716 NA NA NA
1579388400.0 250206.17 NA 448 785 0 NA NA NA NA 817 949 0 NA NA NA NA 16330 3626 1669 NA NA NA NA 9228 2971 1930 NA NA NA
1579388400.0 250207.0 NA 249 638 0 NA NA NA NA 593 771 0 NA NA NA NA 9946 2646 588 NA NA NA NA 6399 2720 755 NA NA NA
1579388400.0 250207.17 NA 424 757 0 NA NA NA NA 771 931 0 NA NA NA NA 14453 3327 1664 NA NA NA NA 8820 2856 1882 NA NA NA
1579388400.0 250208.17 NA 472 802 0 NA NA NA NA 909 986 0 NA NA NA NA 19734 5703 1776 NA NA NA NA 10341 3658 1962 NA NA NA
1579388400.0 250399.0 237 NA NA NA NA NA NA 419 NA NA NA NA NA NA 1004 NA NA NA NA NA NA 1014 NA NA NA NA NA NA
1579388400.0 250399.17 305 NA NA NA NA NA NA 445 NA NA NA NA NA NA 1285 NA NA NA NA NA NA 955 NA NA NA NA NA NA
1579388400.0 250400.0 360 0 140 NA NA NA NA 531 0 216 NA NA NA NA 1307 220 615 NA NA NA NA 1461 274 730 NA NA NA NA
1579388400.0 250400.17 415 0 146 NA NA NA NA 576 0 221 NA NA NA NA 1422 256 627 NA NA NA NA 1388 386 693 NA NA NA NA
1579388400.0 250402.0 367 0 142 NA NA NA NA 530 0 218 NA NA NA NA 1387 230 635 NA NA NA NA 1462 290 720 NA NA NA NA
1579388400.0 250402.17 416 0 144 NA NA NA NA 561 0 220 NA NA NA NA 1415 255 646 NA NA NA NA 1425 316 834 NA NA NA NA
1579388400.0 250402.171 301 423 0 NA NA NA NA 446 573 0 NA NA NA NA 1294 1743 257 NA NA NA NA 1108 1345 318 NA NA NA NA
1579388400.0 250403.0 355 0 140 NA NA NA NA 525 0 216 NA NA NA NA 1344 221 598 NA NA NA NA 1700 272 660 NA NA NA NA
1579388400.0 250403.17 413 0 141 NA NA NA NA 581 0 217 NA NA NA NA 1574 254 623 NA NA NA NA 1911 329 643 NA NA NA NA
