Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1579388400.0 1325.0 NA 107 566 0 67 NA NA NA NA 373 675 0 116 NA NA NA NA 538 1653 591 213 NA NA NA NA 517 1617 928 427 NA NA NA
1579388400.0 1325.1 NA 111 220 0 NA NA NA NA NA 381 292 0 NA NA NA NA NA 541 632 265 NA NA NA NA NA 499 852 379 NA NA NA NA
1579388400.0 1325.2 NA 117 563 0 NA NA NA NA NA 373 687 0 NA NA NA NA NA 503 1655 575 NA NA NA NA NA 387 1647 719 NA NA NA NA
1579388400.0 1325.3 NA 106 208 0 NA NA NA NA NA 381 283 0 NA NA NA NA NA 552 622 253 NA NA NA NA NA 483 743 335 NA NA NA NA
1579388400.0 1325.4 NA 108 567 0 NA NA NA NA NA 381 683 0 NA NA NA NA NA 503 1669 572 NA NA NA NA NA 489 1766 637 NA NA NA NA
1579388400.0 1325.5 NA 193 0 NA NA NA NA NA NA 283 0 NA NA NA NA NA NA 4268 115 NA NA NA NA NA NA 3878 185 NA NA NA NA NA
1579388400.0 1325.51 NA 174 0 NA NA NA NA NA NA 249 0 NA NA NA NA NA NA 1355 128 NA NA NA NA NA NA 1348 187 NA NA NA NA NA
1579388400.0 1325.6 NA 164 NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA 2046 NA NA NA NA NA NA NA 1649 NA NA NA NA NA NA
1579388400.0 1325.7 NA 168 0 NA NA NA NA NA NA 235 0 NA NA NA NA NA NA 2027 110 NA NA NA NA NA NA 1687 231 NA NA NA NA NA
1579388400.0 1325.8 NA 164 0 NA NA NA NA NA NA 236 0 NA NA NA NA NA NA 2103 114 NA NA NA NA NA NA 1665 197 NA NA NA NA NA
1579388400.0 1326.0 NA 102 558 0 NA NA NA NA NA 381 667 0 NA NA NA NA NA 484 1499 568 NA NA NA NA NA 500 1694 628 NA NA NA NA
1579388400.0 1327.0 NA 102 560 0 NA NA NA NA NA 381 666 0 NA NA NA NA NA 483 1516 572 NA NA NA NA NA 482 1708 666 NA NA NA NA
1579388400.0 1328.0 NA 105 559 0 NA NA NA NA NA 373 681 0 NA NA NA NA NA 505 1591 568 NA NA NA NA NA 535 2259 633 NA NA NA NA
1579388400.0 1329.0 NA 98 553 0 NA NA NA NA NA 380 666 0 NA NA NA NA NA 463 1503 565 NA NA NA NA NA 404 1806 633 NA NA NA NA
1579388400.0 1329.1 NA 176 0 NA NA NA NA NA NA 252 0 NA NA NA NA NA NA 1747 112 NA NA NA NA NA NA 1274 165 NA NA NA NA NA
1579388400.0 1330.0 NA 101 560 0 NA NA NA NA NA 381 674 0 NA NA NA NA NA 497 1535 569 NA NA NA NA NA 504 1922 662 NA NA NA NA
1579388400.0 1331.0 NA 103 561 0 NA NA NA NA NA 381 676 0 NA NA NA NA NA 466 1570 568 NA NA NA NA NA 528 2080 629 NA NA NA NA
1579388400.0 1332.0 NA 111 572 0 NA NA NA NA NA 373 673 0 NA NA NA NA NA 542 1569 578 NA NA NA NA NA 569 1691 637 NA NA NA NA
1579388400.0 1333.0 NA 100 562 0 NA NA NA NA NA 373 688 0 NA NA NA NA NA 467 1507 565 NA NA NA NA NA 454 1915 624 NA NA NA NA
