Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1579388400.0 1333.0 NA 152 336 0 NA NA NA 603 495 0 NA NA NA 456 1663 723 NA NA NA 498 1768 771 NA NA
1579388400.0 1335.0 NA 214 340 0 NA NA NA 602 439 0 NA NA NA 423 1655 729 NA NA NA 304 1600 780 NA NA
1579388400.0 134.0 NA 300 38 0 NA NA NA 426 89 0 NA NA NA 3065 120 76 NA NA NA 2536 227 280 NA NA
1579388400.0 134.701 NA 35 328 0 NA NA NA 98 451 0 NA NA NA 245 4336 639 NA NA NA 200 2429 696 NA NA
1579388400.0 134.801 NA 42 324 0 NA NA NA 98 459 0 NA NA NA 227 4082 619 NA NA NA 219 2265 734 NA NA
1579388400.0 134.901 NA 36 321 0 NA NA NA 103 461 0 NA NA NA 240 4145 612 NA NA NA 182 2317 673 NA NA
1579388400.0 134.99602 NA 38 321 0 NA NA NA 108 468 0 NA NA NA 252 4527 609 NA NA NA 241 2559 666 NA NA
1579388400.0 1340.0 NA 192 333 0 NA NA NA 559 463 0 NA NA NA 439 1657 722 NA NA NA 382 1727 777 NA NA
1579388400.0 1341.0 NA 188 351 0 NA NA NA 604 502 0 NA NA NA 508 2037 741 NA NA NA 419 1794 787 NA NA
1579388400.0 1349.0 NA 204 337 0 NA NA NA 602 485 0 NA NA NA 432 1667 727 NA NA NA 313 1656 775 NA NA
1579388400.0 135.11 328 0 127 NA NA NA 686 0 212 NA NA NA 1208 252 895 NA NA NA 1375 320 975 NA NA NA
1579388400.0 135.2 259 0 122 NA NA NA 695 0 204 NA NA NA 828 215 812 NA NA NA 1032 249 911 NA NA NA
1579388400.0 135.5 314 0 124 NA NA NA 651 0 207 NA NA NA 895 233 818 NA NA NA 789 278 896 NA NA NA
1579388400.0 1351.0 NA 196 337 0 NA NA NA 605 463 0 NA NA NA 444 1744 748 NA NA NA 336 1786 844 NA NA
1579388400.0 1352.0 NA 193 344 0 NA NA NA 602 485 0 NA NA NA 452 1688 742 NA NA NA 331 1619 797 NA NA
1579388400.0 1355.0 NA 171 344 0 NA NA NA 600 493 0 NA NA NA 481 1817 731 NA NA NA 330 2025 781 NA NA
1579388400.0 136.735 NA 94 287 0 NA NA NA 158 402 0 NA NA NA 597 2309 617 NA NA NA 375 2114 745 NA NA
1579388400.0 136.7611 NA 175 0 NA NA NA NA 283 0 NA NA NA NA 4968 112 NA NA NA NA 4703 151 NA NA NA
1579388400.0 136.783 NA 119 443 0 NA NA NA 189 759 0 NA NA NA 542 18107 1080 NA NA NA 447 5993 1144 NA NA
1579388400.0 136.788 NA 106 438 0 NA NA NA 180 825 0 NA NA NA 500 17262 1074 NA NA NA 319 5756 1122 NA NA
1579388400.0 136.828 NA 116 448 0 NA NA NA 182 745 0 NA NA NA 638 17681 1168 NA NA NA 473 5805 1225 NA NA
1579388400.0 136.83 NA 116 435 0 NA NA NA 189 744 0 NA NA NA 620 17755 1172 NA NA NA 473 5857 1260 NA NA
1579388400.0 136.832 NA 110 482 0 NA NA NA 175 862 0 NA NA NA 557 22006 1157 NA NA NA 444 7049 1280 NA NA
1579388400.0 136.834 NA 116 439 0 NA NA NA 178 744 0 NA NA NA 517 17829 1184 NA NA NA 446 5851 1246 NA NA
1579388400.0 136.838 NA 116 445 0 NA NA NA 180 771 0 NA NA NA 664 17603 1166 NA NA NA 502 5778 1215 NA NA
1579388400.0 1360.0 0 NA NA NA NA NA 0 NA NA NA NA NA 657 NA NA NA NA NA 549 NA NA NA NA NA
1579388400.0 1361.17 73 162 371 0 NA NA 148 589 558 0 NA NA 3683 638 1846 1130 NA NA 2160 434 1867 1243 NA NA
1579388400.0 1362.17 73 168 364 0 NA NA 146 589 562 0 NA NA 5504 657 1909 1113 NA NA 4736 792 2151 1198 NA NA
1579388400.0 1363.17 73 158 361 0 NA NA 152 591 553 0 NA NA 5382 641 1930 1101 NA NA 4505 459 2344 1158 NA NA
1579388400.0 1364.0 NA 168 340 0 NA NA NA 557 471 0 NA NA NA 436 1718 732 NA NA NA 342 2053 786 NA NA
1579388400.0 1365.0 NA 191 345 0 NA NA NA 601 454 0 NA NA NA 445 1729 731 NA NA NA 329 1782 789 NA NA
1579388400.0 1366.0 NA 135 337 0 NA NA NA 603 495 0 NA NA NA 454 1697 740 NA NA NA 504 1904 819 NA NA
1579388400.0 144.6 NA 292 NA NA NA NA NA 413 NA NA NA NA NA 2387 NA NA NA NA NA 1854 NA NA NA NA
1579388400.0 145.0 75 207 225 0 NA NA 141 586 345 0 NA NA 2447 536 645 247 NA NA 2098 510 727 313 NA NA
1579388400.0 148.0 187 283 535 0 NA NA 271 641 734 0 NA NA 16945 1716 13170 1108 NA NA 16909 1600 6040 1193 NA NA
1579388400.0 158.0 72 207 339 0 NA NA 127 544 520 0 NA NA 2515 624 1731 1100 NA NA 2292 406 1675 1183 NA NA
1579388400.0 200.0 NA 171 358 0 NA NA NA 599 496 0 NA NA NA 725 1976 526 NA NA NA 539 2011 762 NA NA
