Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 124.5 267 NA NA NA NA NA NA NA NA 839 NA NA NA NA NA NA NA NA 1104 NA NA NA NA NA NA NA NA 1159 NA NA NA NA NA NA NA NA
1579388400.0 124.6 225 NA NA NA NA NA NA NA NA 836 NA NA NA NA NA NA NA NA 1080 NA NA NA NA NA NA NA NA 1150 NA NA NA NA NA NA NA NA
1579388400.0 12434.0 NA 269 397 0 83 NA NA NA NA NA 635 700 0 159 NA NA NA NA NA 2108 2348 1578 729 NA NA NA NA NA 3455 3766 1734 786 NA NA NA NA
1579388400.0 126.0 52 98 255 NA NA NA NA NA NA 138 429 579 NA NA NA NA NA NA 1006 458 1633 NA NA NA NA NA NA 632 421 2020 NA NA NA NA NA NA
1579388400.0 12634.0 NA 420 608 0 147 NA NA NA NA NA 818 979 0 281 NA NA NA NA NA 4567 4443 1587 887 NA NA NA NA NA 4135 4635 1700 992 NA NA NA NA
1579388400.0 127.0 52 96 259 NA NA NA NA NA NA 129 451 634 NA NA NA NA NA NA 829 452 1593 NA NA NA NA NA NA 765 431 2002 NA NA NA NA NA NA
1579388400.0 128.0 56 98 245 NA NA NA NA NA NA 118 474 581 NA NA NA NA NA NA 474 467 1547 NA NA NA NA NA NA 680 498 1873 NA NA NA NA NA NA
1579388400.0 12834.0 NA 264 404 0 86 NA NA NA NA NA 628 690 0 161 NA NA NA NA NA 2147 2522 1569 730 NA NA NA NA NA 3586 4651 1728 789 NA NA NA NA
1579388400.0 129.0 51 97 253 NA NA NA NA NA NA 127 393 616 NA NA NA NA NA NA 485 465 1563 NA NA NA NA NA NA 538 555 1976 NA NA NA NA NA NA
1579388400.0 13.0 NA 112 273 0 NA NA NA NA NA NA 470 543 0 NA NA NA NA NA NA 436 2077 452 NA NA NA NA NA NA 443 2034 577 NA NA NA NA NA
