Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1579388400.0 1316.0 NA 113 NA NA NA NA 1011 NA NA NA NA 872 NA NA NA NA 1152 NA NA NA
1579388400.0 1317.0 NA 115 NA NA NA NA 1011 NA NA NA NA 769 NA NA NA NA 843 NA NA NA
1579388400.0 1318.0 NA 119 NA NA NA NA 1011 NA NA NA NA 804 NA NA NA NA 884 NA NA NA
1579388400.0 1319.0 NA 112 NA NA NA NA 1011 NA NA NA NA 933 NA NA NA NA 1271 NA NA NA
1579388400.0 1320.0 NA 117 NA NA NA NA 1013 NA NA NA NA 879 NA NA NA NA 957 NA NA NA
1579388400.0 1321.0 NA 115 NA NA NA NA 1013 NA NA NA NA 741 NA NA NA NA 2949 NA NA NA
1579388400.0 1322.0 NA 113 NA NA NA NA 1013 NA NA NA NA 948 NA NA NA NA 3202 NA NA NA
1579388400.0 1323.0 NA 114 NA NA NA NA 1011 NA NA NA NA 830 NA NA NA NA 904 NA NA NA
1579388400.0 1324.0 NA 115 NA NA NA NA 1016 NA NA NA NA 1172 NA NA NA NA 1280 NA NA NA
1579388400.0 1325.0 NA 121 NA NA NA NA 1016 NA NA NA NA 1200 NA NA NA NA 1328 NA NA NA
1579388400.0 1325.1 NA 120 NA NA NA NA 1016 NA NA NA NA 1015 NA NA NA NA 1092 NA NA NA
1579388400.0 1325.2 NA 112 NA NA NA NA 1016 NA NA NA NA 1288 NA NA NA NA 1397 NA NA NA
1579388400.0 1325.3 NA 109 NA NA NA NA 1016 NA NA NA NA 1327 NA NA NA NA 1461 NA NA NA
1579388400.0 1325.4 NA 123 NA NA NA NA 1016 NA NA NA NA 1199 NA NA NA NA 1269 NA NA NA
1579388400.0 1325.9 NA 128 NA NA NA NA 1029 NA NA NA NA 1653 NA NA NA NA 1747 NA NA NA
1579388400.0 1325.91 NA 126 NA NA NA NA 1029 NA NA NA NA 1735 NA NA NA NA 1824 NA NA NA
1579388400.0 1326.0 NA 111 NA NA NA NA 1014 NA NA NA NA 1215 NA NA NA NA 1329 NA NA NA
1579388400.0 1327.0 NA 105 NA NA NA NA 1014 NA NA NA NA 1321 NA NA NA NA 1476 NA NA NA
1579388400.0 1328.0 NA 115 NA NA NA NA 1016 NA NA NA NA 1415 NA NA NA NA 1498 NA NA NA
1579388400.0 1329.0 NA 119 NA NA NA NA 1014 NA NA NA NA 1375 NA NA NA NA 1513 NA NA NA
1579388400.0 133.0 63 87 NA NA NA 942 952 NA NA NA 9660 1124 NA NA NA 9811 1196 NA NA NA
1579388400.0 1330.0 NA 119 NA NA NA NA 1015 NA NA NA NA 1153 NA NA NA NA 1333 NA NA NA
1579388400.0 1331.0 NA 116 NA NA NA NA 1015 NA NA NA NA 984 NA NA NA NA 3293 NA NA NA
1579388400.0 1332.0 NA 115 NA NA NA NA 1015 NA NA NA NA 1396 NA NA NA NA 1508 NA NA NA
1579388400.0 1333.0 NA 113 NA NA NA NA 1014 NA NA NA NA 1222 NA NA NA NA 1448 NA NA NA
1579388400.0 1334.0 NA 114 NA NA NA NA 1015 NA NA NA NA 1017 NA NA NA NA 1124 NA NA NA
1579388400.0 1335.0 NA 111 NA NA NA NA 1014 NA NA NA NA 1320 NA NA NA NA 1434 NA NA NA
1579388400.0 1336.0 NA 132 NA NA NA NA 1016 NA NA NA NA 1554 NA NA NA NA 1654 NA NA NA
1579388400.0 1337.0 NA 117 NA NA NA NA 1023 NA NA NA NA 1450 NA NA NA NA 1552 NA NA NA
1579388400.0 1338.0 NA 121 NA NA NA NA 1016 NA NA NA NA 1421 NA NA NA NA 1573 NA NA NA
1579388400.0 1339.0 NA 124 NA NA NA NA 1017 NA NA NA NA 1281 NA NA NA NA 1432 NA NA NA
1579388400.0 134.701 NA 44 NA NA NA NA 933 NA NA NA NA 437 NA NA NA NA 490 NA NA NA
