Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 136.76 NA 59 572 0 NA NA NA NA 129 714 0 NA NA NA NA 573 14534 563 NA NA NA NA 307 4274 591 NA NA NA
1579388400.0 136.763 NA 62 568 0 NA NA NA NA 125 707 0 NA NA NA NA 537 14339 566 NA NA NA NA 280 4229 585 NA NA NA
1579388400.0 136.764 NA 58 565 0 NA NA NA NA 125 708 0 NA NA NA NA 400 13995 567 NA NA NA NA 256 4159 587 NA NA NA
1579388400.0 136.766 NA 61 591 0 NA NA NA NA 127 781 0 NA NA NA NA 396 14146 561 NA NA NA NA 282 4186 578 NA NA NA
1579388400.0 136.768 NA 68 569 0 NA NA NA NA 124 696 0 NA NA NA NA 558 13010 568 NA NA NA NA 321 3779 590 NA NA NA
1579388400.0 1360.0 80 97 570 0 NA NA NA 149 375 701 0 NA NA NA 2923 305 533 401 NA NA NA 1860 289 729 416 NA NA NA
1579388400.0 1361.0 82 97 572 0 NA NA NA 153 375 688 0 NA NA NA 3075 400 598 404 NA NA NA 2292 334 730 416 NA NA NA
1579388400.0 1361.17 69 206 669 0 NA NA NA 130 472 820 0 NA NA NA 3518 603 1024 1279 NA NA NA 2290 427 906 1348 NA NA NA
1579388400.0 1362.0 83 99 570 0 NA NA NA 151 375 688 0 NA NA NA 3496 397 571 410 NA NA NA 2492 308 723 423 NA NA NA
1579388400.0 1362.17 69 205 667 0 NA NA NA 130 476 824 0 NA NA NA 4050 624 995 1272 NA NA NA 2868 443 861 1292 NA NA NA
1579388400.0 1363.17 69 200 666 0 NA NA NA 130 472 819 0 NA NA NA 4156 609 1022 1278 NA NA NA 2585 729 939 1299 NA NA NA
1579388400.0 139901.0 NA 99 569 0 NA NA NA NA 383 676 0 NA NA NA NA 414 618 421 NA NA NA NA 355 631 436 NA NA NA
1579388400.0 139902.0 NA 103 580 0 NA NA NA NA 383 689 0 NA NA NA NA 452 740 412 NA NA NA NA 303 668 429 NA NA NA
1579388400.0 13992502.0 NA 200 792 0 NA NA NA NA 406 1004 0 NA NA NA NA 2254 2401 422 NA NA NA NA 1791 1788 449 NA NA NA
1579388400.0 140.54 NA 422 0 NA NA NA NA NA 528 0 NA NA NA NA NA 751 241 NA NA NA NA NA 737 264 NA NA NA NA
1579388400.0 144.6 NA 466 NA NA NA NA NA NA 539 NA NA NA NA NA NA 1389 NA NA NA NA NA NA 1185 NA NA NA NA NA
1579388400.0 202.0 NA 157 531 0 NA NA NA NA 376 646 0 NA NA NA NA 759 1084 319 NA NA NA NA 418 924 337 NA NA NA
1579388400.0 203.0 NA 150 541 0 NA NA NA NA 383 654 0 NA NA NA NA 749 992 318 NA NA NA NA 488 762 335 NA NA NA
1579388400.0 20834.2 105 339 695 0 NA NA NA 158 418 854 0 NA NA NA 5810 2511 1660 465 NA NA NA 2011 1518 1428 475 NA NA NA
1579388400.0 250199.0 208 NA NA NA NA NA NA 403 NA NA NA NA NA NA 4954 NA NA NA NA NA NA 1956 NA NA NA NA NA NA
1579388400.0 250199.17 217 NA NA NA NA NA NA 439 NA NA NA NA NA NA 5115 NA NA NA NA NA NA 3019 NA NA NA NA NA NA
1579388400.0 250200.17 NA 435 776 0 NA NA NA NA 743 955 0 NA NA NA NA 16289 3553 1305 NA NA NA NA 7963 1655 1338 NA NA NA
1579388400.0 250202.17 NA 452 780 0 NA NA NA NA 820 963 0 NA NA NA NA 16112 3377 1296 NA NA NA NA 8412 1473 1328 NA NA NA
1579388400.0 250204.17 NA 437 768 0 NA NA NA NA 768 914 0 NA NA NA NA 16415 3162 1343 NA NA NA NA 7936 1576 1378 NA NA NA
1579388400.0 250205.17 NA 426 782 0 NA NA NA NA 851 947 0 NA NA NA NA 13326 3553 1302 NA NA NA NA 7643 1592 1344 NA NA NA
1579388400.0 250206.17 NA 422 775 0 NA NA NA NA 782 964 0 NA NA NA NA 14894 3732 1299 NA NA NA NA 7979 2152 1346 NA NA NA
1579388400.0 250207.17 NA 417 775 0 NA NA NA NA 762 923 0 NA NA NA NA 13918 3316 1286 NA NA NA NA 7520 1517 1326 NA NA NA
1579388400.0 250399.0 184 NA NA NA NA NA NA 425 NA NA NA NA NA NA 944 NA NA NA NA NA NA 1153 NA NA NA NA NA NA
1579388400.0 250400.0 366 0 100 NA NA NA NA 530 0 161 NA NA NA NA 876 106 175 NA NA NA NA 601 113 169 NA NA NA NA
1579388400.0 250402.0 379 0 101 NA NA NA NA 536 0 159 NA NA NA NA 976 114 207 NA NA NA NA 669 125 176 NA NA NA NA
1579388400.0 250403.0 363 0 99 NA NA NA NA 529 0 157 NA NA NA NA 810 111 181 NA NA NA NA 666 117 185 NA NA NA NA
1579388400.0 250405.0 362 0 101 NA NA NA NA 522 0 158 NA NA NA NA 847 106 177 NA NA NA NA 666 111 172 NA NA NA NA
1579388400.0 250406.0 315 0 97 NA NA NA NA 529 0 152 NA NA NA NA 451 99 110 NA NA NA NA 459 105 139 NA NA NA NA
1579388400.0 250407.0 313 0 98 NA NA NA NA 521 0 159 NA NA NA NA 661 90 155 NA NA NA NA 581 95 154 NA NA NA NA
1579388400.0 250408.0 377 0 104 NA NA NA NA 529 0 161 NA NA NA NA 897 108 192 NA NA NA NA 614 118 180 NA NA NA NA
1579388400.0 250409.0 380 0 104 NA NA NA NA 535 0 162 NA NA NA NA 1219 116 246 NA NA NA NA 755 122 169 NA NA NA NA
1579388400.0 25202.0 NA 197 777 0 NA NA NA NA 402 1002 0 NA NA NA NA 2253 2373 421 NA NA NA NA 2000 1581 441 NA NA NA
1579388400.0 25203.0 NA 199 772 0 NA NA NA NA 389 1007 0 NA NA NA NA 2421 2282 417 NA NA NA NA 2177 1665 434 NA NA NA
1579388400.0 25205.0 NA 200 822 0 NA NA NA NA 400 984 0 NA NA NA NA 2227 2360 422 NA NA NA NA 2080 1835 435 NA NA NA
1579388400.0 25206.0 NA 195 774 0 NA NA NA NA 389 978 0 NA NA NA NA 2129 2281 425 NA NA NA NA 2123 1887 461 NA NA NA
1579388400.0 25208.0 NA 213 839 0 NA NA NA NA 396 1027 0 NA NA NA NA 2402 3214 433 NA NA NA NA 1989 2062 445 NA NA NA
1579388400.0 25210.0 87 175 763 0 NA NA NA 153 393 915 0 NA NA NA 2605 899 1069 408 NA NA NA 1393 1047 886 439 NA NA NA
1579388400.0 25211.17 69 318 783 0 NA NA NA 130 528 940 0 NA NA NA 3161 3274 4137 1309 NA NA NA 1717 6178 1941 1329 NA NA NA
1579388400.0 25212.17 69 309 770 0 NA NA NA 129 522 935 0 NA NA NA 3734 3130 3773 1301 NA NA NA 2449 6131 1708 1332 NA NA NA
