Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1579388400.0 4.22 NA 129 84 64 0 NA NA 203 105 141 0 NA NA 4080 1015 1085 1142 NA NA 4322 1171 1268 1221 NA
1579388400.0 4.51 NA 29 249 0 NA NA NA 104 312 0 NA NA NA 817 11963 1107 NA NA NA 1398 12170 1155 NA NA
1579388400.0 500199.0 118 NA NA NA NA NA 200 NA NA NA NA NA 7249 NA NA NA NA NA 7485 NA NA NA NA NA
1579388400.0 500200.1 59 111 204 NA NA NA 107 192 259 NA NA NA 5054 2476 3412 NA NA NA 5387 2658 3554 NA NA NA
1579388400.0 503.0 37 0 NA NA NA NA 71 0 NA NA NA NA 1388 565 NA NA NA NA 1474 629 NA NA NA NA
1579388400.0 504.0 47 0 NA NA NA NA 71 0 NA NA NA NA 793 567 NA NA NA NA 889 639 NA NA NA NA
1579388400.0 505.0 49 0 NA NA NA NA 70 0 NA NA NA NA 762 562 NA NA NA NA 869 634 NA NA NA NA
1579388400.0 506.0 45 0 NA NA NA NA 71 0 NA NA NA NA 776 591 NA NA NA NA 851 664 NA NA NA NA
1579388400.0 507.0 37 0 NA NA NA NA 70 0 NA NA NA NA 1374 559 NA NA NA NA 1456 622 NA NA NA NA
1579388400.0 508.0 37 0 NA NA NA NA 70 0 NA NA NA NA 744 562 NA NA NA NA 853 637 NA NA NA NA
1579388400.0 509.0 37 0 NA NA NA NA 69 0 NA NA NA NA 700 581 NA NA NA NA 775 653 NA NA NA NA
1579388400.0 510.0 36 0 NA NA NA NA 70 0 NA NA NA NA 2319 570 NA NA NA NA 2409 663 NA NA NA NA
1579388400.0 511.0 43 0 NA NA NA NA 77 0 NA NA NA NA 26170 235 NA NA NA NA 26679 279 NA NA NA NA
1579388400.0 531.0 89 0 NA NA NA NA 182 0 NA NA NA NA 656 561 NA NA NA NA 742 626 NA NA NA NA
1579388400.0 541.0 54 0 NA NA NA NA 81 0 NA NA NA NA 815 565 NA NA NA NA 891 628 NA NA NA NA
1579388400.0 545.0 45 0 NA NA NA NA 81 0 NA NA NA NA 888 573 NA NA NA NA 991 643 NA NA NA NA
1579388400.0 560.0 41 0 NA NA NA NA 70 0 NA NA NA NA 763 562 NA NA NA NA 890 625 NA NA NA NA
1579388400.0 561.0 41 0 NA NA NA NA 70 0 NA NA NA NA 763 580 NA NA NA NA 881 680 NA NA NA NA
1579388400.0 7.2 56 145 172 62 0 NA 93 182 204 95 0 NA 1255 1182 1126 410 707 NA 1382 1260 1224 518 767 NA
