Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 1308.0 NA 100 143 45 0 NA NA NA NA NA 177 185 79 0 NA NA NA NA NA 1384 1393 410 748 NA NA NA NA NA 2542 2431 551 1322 NA NA NA NA
1579388400.0 1309.0 NA 109 278 0 NA NA NA NA NA NA 186 335 0 NA NA NA NA NA NA 1400 4077 1107 NA NA NA NA NA NA 1815 4628 1178 NA NA NA NA NA
1579388400.0 131.0 57 84 246 NA NA NA NA NA NA 96 120 300 NA NA NA NA NA NA 2090 815 3360 NA NA NA NA NA NA 2410 920 3580 NA NA NA NA NA NA
1579388400.0 1310.0 NA 109 270 0 NA NA NA NA NA NA 186 335 0 NA NA NA NA NA NA 1510 4779 1205 NA NA NA NA NA NA 1885 5987 1298 NA NA NA NA NA
1579388400.0 1311.0 NA 106 283 0 69 NA NA NA NA NA 184 335 0 103 NA NA NA NA NA 1067 2279 1049 483 NA NA NA NA NA 1240 2424 1107 568 NA NA NA NA
1579388400.0 1312.0 NA 106 274 0 NA NA NA NA NA NA 185 335 0 NA NA NA NA NA NA 1216 3357 893 NA NA NA NA NA NA 1425 3562 950 NA NA NA NA NA
1579388400.0 1313.0 NA 107 273 0 NA NA NA NA NA NA 188 339 0 NA NA NA NA NA NA 1271 3979 855 NA NA NA NA NA NA 2223 4160 911 NA NA NA NA NA
1579388400.0 1314.0 NA 108 273 0 NA NA NA NA NA NA 185 334 0 NA NA NA NA NA NA 1463 4069 1009 NA NA NA NA NA NA 1814 4589 1080 NA NA NA NA NA
1579388400.0 1315.0 NA 107 275 0 NA NA NA NA NA NA 182 329 0 NA NA NA NA NA NA 944 3860 992 NA NA NA NA NA NA 1088 4153 1060 NA NA NA NA NA
1579388400.0 1316.0 NA 105 271 0 NA NA NA NA NA NA 182 330 0 NA NA NA NA NA NA 923 4334 973 NA NA NA NA NA NA 1106 4792 1046 NA NA NA NA NA
1579388400.0 1317.0 NA 108 271 0 174 NA NA NA NA NA 181 329 0 235 NA NA NA NA NA 1194 3578 945 1382 NA NA NA NA NA 1360 3846 1017 1476 NA NA NA NA
1579388400.0 1318.0 NA 107 271 0 169 NA NA NA NA NA 182 329 0 230 NA NA NA NA NA 1026 3328 1020 1407 NA NA NA NA NA 1174 3936 1103 1666 NA NA NA NA
1579388400.0 1319.0 NA 106 268 0 NA NA NA NA NA NA 181 329 0 NA NA NA NA NA NA 1165 4545 957 NA NA NA NA NA NA 2119 6102 1019 NA NA NA NA NA
1579388400.0 132.0 60 87 246 NA NA NA NA NA NA 109 122 302 NA NA NA NA NA NA 5698 993 3333 NA NA NA NA NA NA 5916 1089 3523 NA NA NA NA NA NA
1579388400.0 1321.0 NA 103 269 0 169 NA NA NA NA NA 183 330 0 232 NA NA NA NA NA 1227 3665 935 1286 NA NA NA NA NA 1868 4046 999 1365 NA NA NA NA
1579388400.0 1322.0 NA 101 271 0 171 NA NA NA NA NA 184 331 0 234 NA NA NA NA NA 1126 3437 910 1317 NA NA NA NA NA 1273 3710 974 1440 NA NA NA NA
1579388400.0 1323.0 NA 105 262 0 NA NA NA NA NA NA 181 325 0 NA NA NA NA NA NA 1113 4049 989 NA NA NA NA NA NA 1406 4424 1067 NA NA NA NA NA
1579388400.0 1325.1 NA 110 165 0 NA NA NA NA NA NA 186 203 0 NA NA NA NA NA NA 1615 1480 830 NA NA NA NA NA NA 2061 1664 927 NA NA NA NA NA
1579388400.0 1325.2 NA 107 270 0 NA NA NA NA NA NA 186 333 0 NA NA NA NA NA NA 1386 3439 893 NA NA NA NA NA NA 2359 3699 945 NA NA NA NA NA
1579388400.0 1325.3 NA 105 157 0 NA NA NA NA NA NA 186 198 0 NA NA NA NA NA NA 1772 1535 827 NA NA NA NA NA NA 3025 1702 994 NA NA NA NA NA
